-1,-3,-4
NDC (national,,
destination code),,
or leading digits of,,
N(S)N (national,Usage of E.164 number,Additional information
(significant),,
number),,
61 (NDC),Geographical number,Area Code for Nyeri
,for fixed telephony,
,services,
62 (NDC),Geographical number,Area Code for Nanyuki
,for fixed telephony,
,services,
64 (NDC),Geographical number,"Area Code for Meru, Maua"
,for fixed telephony,and Chuka
,services,
66 (NDC),Geographical number,Area Code for Thika and
,for fixed telephony,Ruiru
,services,
67 (NDC),Geographical number,Area Code for Kiambu and
,for fixed telephony,Kikuyu towns
,services,
68 (NDC),Geographical number,Area Code for Embu
,for fixed telephony,
,services,
69 (NDC),Geographical number,Area Code for Marsabit
,for fixed telephony,and Moyale
,services,
700 to 709 (NDC),Non Geographical,Mobile Telephony
710 to 719 (NDC),number for mobile,Services assigned to
720 to 729 (NDC),telephony services,Safaricom PLC
730 to 739 (NDC),Non Geographical,Mobile Telephony
,number for mobile,Services assigned to Airtel
,telephony services,Networks Kenya Ltd
740 to 743,Non Geographical,Mobile Telephony
,number for mobile,Services assigned to
,telephony services,Safaricom PLC
